user_id,post_id,reputation,views,up_votes,down_votes,score,view_count,comment_count
26201,21574826,,,,,1,,
1596371,34472733,,,,,1,,
1596371,36988426,,,,,1,,
275501,35106627,26898,,,,1,,
366336,34763618,,,,,2,,
5319918,37223575,,,,,,,3
6144451,36960797,,,,,,,3
1526032,35458496,,,,,1,,
4592852,36935599,,,,,1,,
153422,31383988,31601,2998,1176,102,,,
1006010,33078084,56330,2751,5581,,1,,
637609,30461043,,,1095,,,,
11898,36445618,50053,2456,1573,,1,,
11898,26648659,50053,2456,1573,,1,,
296346,36741987,,,,,1,,4
400691,33904826,,,1869,,,,7
410636,34719924,42200,3858,1793,796,,,
1776732,36569814,,,,,,,4
3449597,34843079,,,,,,,4
1000,33688028,,2366,2628,,,,
3747674,29416967,,,,,1,,8
3749729,36988899,,,,,-1,,
5700339,36046457,,,,,1,,
5336859,33230454,,,,,1,,
2608644,36448734,,,,,1,,
2950580,34983378,,,,,1,,
6437549,37690902,,,,,1,,
2841267,36780983,,,,,1,,
4960774,35367961,,,,,3,,
4960774,37072355,,,,,1,,
2420913,36480588,,,,,,,4
48886,36114490,18150,1265,,,,,
33051,37393059,25258,3293,3037,,,,
4177694,36581912,,,,,,,4
4754758,36742937,,,,,,,6
178757,33632499,21285,1388,,74,,,
1970448,33149408,,,,,,,5
2840178,23322532,,,,,,,7
141022,24939395,14329,,2562,,,,
141022,35887536,14329,,2562,,,,
6357705,37577086,,,,,1,,
6357705,37467363,,,,,,,5
1607383,36367891,,,,,1,,
1185534,35163431,,,,72,,,
3675617,24025060,,,,,,,3
5873521,37615811,,,,,,,4
657676,32800957,,,,,1,,
657676,35672848,,,,,1,,
946923,31909647,,,,,-1,,
39643,37746794,17053,1417,1430,283,,,
39643,37597279,17053,1417,1430,283,,,
271907,37185140,,,,,1,,
271907,17422598,,,,,1,,
271907,37394624,,,,,1,,
3070181,32036930,,,,,,,6
3581788,36890299,,,,,1,,
3581788,35345620,,,,,,,3
3581788,35684067,,,,,,,3
1572408,26689297,,,,,1,,3
5973797,37191403,,,,,1,,
1233535,37133337,,,,,,,3
1499072,34118493,,,1970,,,,
1499072,35837533,,,1970,,1,,
1499072,36560530,,,1970,,,,6
932696,36913276,,,,,,,5
56672,30850819,,1209,,55,,,
653292,34294616,,,,,,,4
1127699,31974416,,1828,,,,,
2287576,36179316,,2099,2718,,,,3
2287576,36320031,,2099,2718,,,,
2287576,36287093,,2099,2718,,,,
2287576,37114640,,2099,2718,,2,,
2287576,36130680,,2099,2718,,,,
2287576,36061045,,2099,2718,,,,3
2287576,37461297,,2099,2718,,,,
2287576,35135816,,2099,2718,,,,
2287576,35058972,,2099,2718,,,,
2287576,36086537,,2099,2718,,,,4
2287576,37163849,,2099,2718,,,,3
2287576,37120096,,2099,2718,,,,
2287576,37622851,,2099,2718,,,,4
2287576,37634638,,2099,2718,,,,
2038544,35300221,,,2110,73,,,5
1033624,37118671,,,,,1,,
1033624,37197259,,,,,1,,
32484,31927569,54973,3228,,,,,
4887407,31319847,,,,,1,,
4887407,36676465,,,,,1,,
469266,28773910,,,,,1,,
2500842,37206647,,,,159,,,
2500842,37305383,,,,159,,,
31667,34888017,29380,2503,1301,327,,,3
31667,36572706,29380,2503,1301,327,2,,
31667,33771746,29380,2503,1301,327,1,,
289666,28830708,30881,,,,,,
962144,14520818,,,,56,,,
1252987,31249324,,,930,139,,,
1001421,37070309,,,,,1,,
1003009,36087502,,,,,,,3
1125402,36648652,,,1197,,,,
1537736,29550529,,,,,1,,
3859951,30139905,,,,,,,4
11755,36869680,22166,2569,,56,,,
11755,35864852,22166,2569,,56,-1,,
11755,34769995,22166,2569,,56,,,
11755,37717428,22166,2569,,56,,,
11755,24308175,22166,2569,,56,,,
11755,37676475,22166,2569,,56,1,,
11755,37304406,22166,2569,,56,,,
11755,32668104,22166,2569,,56,,,
11755,35379672,22166,2569,,56,,,
11755,36576270,22166,2569,,56,,,
11755,37597066,22166,2569,,56,,,3
11755,35486262,22166,2569,,56,-1,,
11755,37701416,22166,2569,,56,,,
11755,18732925,22166,2569,,56,,,
11755,35853378,22166,2569,,56,1,,
11755,36411189,22166,2569,,56,,,
2810014,33571614,,,,,-1,,
3195915,34121360,,,,,,,5
3302584,36942209,,,,,1,,
2550349,36705627,,,,,2,,
1542051,30645058,,,,,,,3
5071207,31171036,,,,,1,,
6329627,37206124,,,,,,,3
1382366,37751594,,,,,,,3
3933207,33600109,,,,,-1,,
3879560,25952024,,,,,,,3
959127,37225928,,,,,,,3
3764923,37429051,,,,,1,,
6361547,37348997,,,,,,,3
4804161,29716312,,,,,-4,,4
2799176,35431715,,,,,,,3
3541517,23111791,,,,,1,,
3476240,37300886,,,,,-1,,10
3484026,36719246,,,,,,,5
3346069,37159510,,,,,,,6
3317132,33489759,,,,,1,,
5404240,32922537,,,,,2,,
31751,37659593,20634,,,,,,
419426,34413484,,,,,1,,
1197723,27197584,,,,,-1,,
2413722,20458662,,,1791,56,,,6
777510,35855776,,,,149,,,
777510,30875766,,,,149,,,
1464618,35893192,,,,,1,,
1464618,35871542,,,,,,,6
2908971,35640835,,,,,,,4
5587036,33834737,,,,,1,,
478144,33922987,32356,3009,,,,,7
478144,36131376,32356,3009,,,,,
478144,36845567,32356,3009,,,,,
2154163,28997927,,,,321,,,
97925,33366653,,,,,1,,
97925,35557292,,,,,1,,4
1531175,27462812,,,,,1,,
28901,35563832,16971,,1188,,1,,
898289,25306834,30700,1893,,98,1,,
1019952,33304462,13079,,,,,,
1019952,34041866,13079,,,,,,
1019952,37499742,13079,,,,1,,7
726150,32363040,,,,,2,,
3812866,36914123,,,,,,,4
1905469,34271094,,,1945,,,,
538847,14402646,,,,,,,3
1872530,33993680,,,,,-2,,
3233462,35915707,,,,,2,,
5255941,35877018,,,,,-1,,
325900,36766631,,,1018,1224,,,
325900,34131406,,,1018,1224,,,
5318061,36827525,,,,,1,,
507674,36012966,287170,23103,1417,1686,,,4
1446086,34651536,,,1681,,,,3
1446086,36407423,,,1681,,,,
2325955,31697142,,,,,1,,
5457408,33589074,,,,90,,,
683553,22179082,36082,1723,1262,,,,
683553,31927733,36082,1723,1262,,,,
683553,37471953,36082,1723,1262,,,,
683553,30404261,36082,1723,1262,,,,
683553,32661087,36082,1723,1262,,-1,,3
1432790,29883198,,,,,-1,,
1432790,35563172,,,,,,,3
3582842,34486354,,,,,,,7
3582842,34203629,,,,,1,,
47775,22075789,32515,2845,,66,,,
2199898,37210568,,,,,,,5
2199898,36695291,,,,,1,,
978756,25726485,24264,4086,,760,,,
2541,29386926,13009,3873,1943,270,,,
2349791,37614273,,,,,-3,,
1081325,22097742,,,,,,,4
2111795,33701758,,,,,1,,
429427,31655571,33292,,2480,189,,,
4916173,34078066,,,,,,,4
1641422,23250914,13415,,,,,,
1600900,32728760,,,,,,,4
873139,34422067,,,,,1,,4
873139,18603007,,,,,,,4
2635961,26663800,,,,,,,3
1238867,34557621,,,1111,89,,,
3374382,37648251,,,,,1,,
3374382,36503270,,,,,,,6
1014237,22834267,,,,,1,,
1014237,35333713,,,,,1,,
5224239,37622335,,,,,-1,,5
3359782,36481424,,,,104,,,
3359782,33241833,,,,104,,,
3359782,28741957,,,,104,,,
3359782,36628652,,,,104,,,
3562271,26692520,,,,,,,3
2251468,35226228,,,,,-1,,
2251468,36308239,,,,,1,,
875393,36718577,,,,,,,6
2762432,37613295,,,,87,,,3
2762432,35204863,,,,87,,,
3348196,35319646,,,,,-1,,
3348196,35686303,,,,,-1,,
4288595,36861243,,,,,1,,
1551819,35987581,,,,,,,8
4556923,36695604,,,,,,,9
