,user_id,reputation,views,up_votes,down_votes,post_id,score,view_count,comment_count
742,2287576,10099,2099,2718,13,37163849,0,20,3
743,2287576,10099,2099,2718,13,37120096,0,11,0
744,2287576,10099,2099,2718,13,37622851,0,18,4
745,2287576,10099,2099,2718,13,37634638,0,9,2
758,32484,54973,3228,117,10,31927569,0,19,1
776,31667,29380,2503,1301,327,34888017,0,10,3
777,31667,29380,2503,1301,327,36572706,2,20,0
778,31667,29380,2503,1301,327,33771746,1,10,0
779,289666,30881,995,278,46,28830708,0,13,0
795,11755,22166,2569,471,56,36869680,0,20,0
796,11755,22166,2569,471,56,35864852,-1,18,0
797,11755,22166,2569,471,56,34769995,0,14,2
798,11755,22166,2569,471,56,37717428,0,16,1
799,11755,22166,2569,471,56,24308175,0,20,1
800,11755,22166,2569,471,56,37676475,1,14,0
801,11755,22166,2569,471,56,37304406,0,10,0
802,11755,22166,2569,471,56,32668104,0,13,0
803,11755,22166,2569,471,56,35379672,0,15,1
804,11755,22166,2569,471,56,36576270,0,18,0
805,11755,22166,2569,471,56,37597066,0,16,3
806,11755,22166,2569,471,56,35486262,-1,15,1
807,11755,22166,2569,471,56,37701416,0,18,0
808,11755,22166,2569,471,56,18732925,0,14,0
809,11755,22166,2569,471,56,35853378,1,17,0
810,11755,22166,2569,471,56,36411189,0,20,0
873,31751,20634,1137,640,1,37659593,0,15,0
900,478144,32356,3009,403,7,33922987,0,20,7
901,478144,32356,3009,403,7,36131376,0,18,2
902,478144,32356,3009,403,7,36845567,0,14,0
913,898289,30700,1893,635,98,25306834,1,12,1
933,325900,5897,1024,1018,1224,36766631,0,18,1
934,325900,5897,1024,1018,1224,34131406,0,14,1
937,507674,287170,23103,1417,1686,36012966,0,18,4
945,683553,36082,1723,1262,11,22179082,0,14,2
946,683553,36082,1723,1262,11,31927733,0,12,0
947,683553,36082,1723,1262,11,37471953,0,19,0
948,683553,36082,1723,1262,11,30404261,0,15,0
949,683553,36082,1723,1262,11,32661087,-1,19,3
956,47775,32515,2845,639,66,22075789,0,18,0
960,978756,24264,4086,837,760,25726485,0,18,2
963,2541,13009,3873,1943,270,29386926,0,20,2
975,429427,33292,1177,2480,189,31655571,0,13,0
1012,3359782,3678,1019,128,104,36481424,0,16,2
1013,3359782,3678,1019,128,104,33241833,0,14,0
1014,3359782,3678,1019,128,104,28741957,0,20,2
1015,3359782,3678,1019,128,104,36628652,0,18,0
